=== 五彩鋅電鍍色彩分析報告 ===
批次標籤: OK1
分析時間: 2025-07-18 14:37:02
圖片數量: 181

=== 統計摘要 ===
RGB平均值:
  R通道: 均值=145.71, 標準差=8.82
  G通道: 均值=173.03, 標準差=6.06
  B通道: 均值=142.77, 標準差=7.21

HSV特徵:
  飽和度: 均值=54.10, 標準差=9.47
  亮度: 均值=173.81, 標準差=5.96
  主導色調: 均值=104.18°, 標準差=17.58°

色彩豐富度指數: 均值=44.46, 標準差=3.35

=== 詳細數據 ===
檔名,R均值,G均值,B均值,飽和度,亮度,主導色調,色彩豐富度,有效像素數
49_3_roi.png,155.07,173.01,152.55,41.07,174.38,92.00,46.60,395720
4_3_roi.png,134.35,168.62,134.57,62.34,169.19,110.00,52.28,395720
50_3_roi.png,154.66,172.40,149.82,41.88,173.64,92.00,47.34,395720
51_3_roi.png,142.19,168.19,144.82,47.69,169.24,110.00,48.18,395720
52_3_roi.png,157.09,176.35,153.27,43.06,177.50,92.00,46.62,395720
53_3_roi.png,141.32,167.61,145.52,45.90,168.43,110.00,46.72,395720
54_3_roi.png,155.92,183.42,145.03,58.65,183.80,92.00,43.50,395720
55_3_roi.png,138.72,171.85,135.70,61.82,172.29,110.00,45.25,395720
56_3_roi.png,135.85,173.59,150.75,56.69,174.21,138.00,44.12,395720
57_3_roi.png,157.07,176.04,149.36,45.92,177.05,92.00,46.58,395720
58_3_roi.png,132.61,170.03,131.23,67.28,170.50,110.00,45.59,395720
59_3_roi.png,140.14,166.68,146.63,44.81,167.50,138.00,42.81,395720
5_3_roi.png,153.20,180.42,142.25,60.04,180.89,92.00,44.08,395720
60_3_roi.png,151.40,177.51,145.96,54.16,178.13,92.00,47.36,395720
61_3_roi.png,151.77,182.45,138.47,66.20,182.91,92.00,40.49,395720
62_3_roi.png,154.07,178.61,141.68,57.47,179.11,92.00,45.42,395720
63_3_roi.png,154.73,184.11,143.73,61.96,184.55,92.00,45.65,395720
64_3_roi.png,136.71,167.79,136.87,56.62,168.22,110.00,44.99,395720
65_3_roi.png,140.52,165.49,147.73,42.58,166.67,160.00,49.34,395720
66_3_roi.png,136.08,167.97,144.25,52.96,168.74,138.00,41.91,395720
67_3_roi.png,155.13,172.42,151.91,40.61,173.71,92.00,46.04,395720
68_3_roi.png,152.58,175.60,145.14,51.38,176.26,92.00,43.90,395720
69_3_roi.png,152.98,167.58,156.11,32.44,169.90,96.00,44.00,395720
6_3_roi.png,139.70,167.25,144.89,47.38,168.11,110.00,42.98,395720
70_3_roi.png,136.04,168.20,136.46,58.62,168.59,110.00,44.60,395720
71_3_roi.png,131.89,166.76,129.69,65.87,167.24,106.00,39.93,395720
72_3_roi.png,137.96,165.24,142.81,48.32,166.00,138.00,49.28,395720
73_3_roi.png,153.72,175.21,150.50,45.74,176.86,92.00,46.37,395720
74_3_roi.png,154.06,169.51,154.31,36.20,171.67,92.00,43.02,395720
75_3_roi.png,137.45,164.20,142.25,47.76,165.06,110.00,41.90,395720
76_3_roi.png,136.26,169.93,140.99,57.09,170.41,110.00,46.03,395720
77_3_roi.png,136.24,167.17,134.90,58.73,167.66,110.00,45.98,395720
78_3_roi.png,151.94,176.70,147.04,50.31,177.40,92.00,44.24,395720
79_3_roi.png,152.37,177.64,143.17,55.72,178.36,92.00,46.57,395720
7_3_roi.png,157.29,177.21,150.14,46.56,178.09,92.00,45.33,395720
80_3_roi.png,154.49,177.88,147.67,50.81,178.65,92.00,46.36,395720
81_3_roi.png,135.28,168.34,134.21,61.31,168.86,110.00,45.19,395720
82_3_roi.png,152.22,181.42,145.29,57.47,181.90,92.00,39.58,395720
83_3_roi.png,154.44,175.84,145.31,50.74,176.90,86.00,52.40,395720
84_3_roi.png,156.36,178.36,140.03,60.31,178.91,86.00,51.20,395720
85_3_roi.png,135.37,170.00,143.69,56.80,170.50,136.00,42.80,395720
86_3_roi.png,134.31,166.19,136.25,57.57,166.74,110.00,46.20,395720
87_3_roi.png,135.48,169.69,136.15,60.52,170.27,110.00,45.90,395720
88_3_roi.png,134.89,169.07,130.70,67.16,169.51,106.00,45.06,395720
89_3_roi.png,143.54,165.45,151.50,38.11,166.85,160.00,44.40,395720
8_3_roi.png,155.89,178.23,149.13,48.69,178.97,92.00,46.97,395720
90_3_roi.png,151.59,183.81,144.41,60.75,184.18,98.00,38.87,395720
91_3_roi.png,137.85,167.49,142.74,52.00,168.30,138.00,46.80,395720
92_3_roi.png,154.24,168.63,155.35,32.80,170.46,92.00,40.74,395720
93_3_roi.png,139.94,167.08,142.56,47.82,167.61,110.00,43.96,395720
94_3_roi.png,133.85,170.71,130.52,68.11,171.12,110.00,41.42,395720
95_3_roi.png,139.28,164.95,145.21,43.98,165.74,138.00,41.58,395720
96_3_roi.png,157.94,173.29,152.30,39.99,174.94,86.00,46.81,395720
97_3_roi.png,153.97,172.62,159.79,36.09,174.91,100.00,39.33,395720
98_3_roi.png,134.92,167.71,131.67,63.08,168.06,106.00,41.89,395720
99_3_roi.png,136.35,171.16,131.29,66.89,171.52,102.00,43.63,395720
9_3_roi.png,154.94,178.16,141.07,58.04,178.70,92.00,46.96,395720
